"","x"
"1","100monkeystyping.com"
"2","12thharmonic.com/wordpress"
"3","750volts.blogspot.com"
"4","95theses.blogspot.com"
"5","abbadabbaduo.blogspot.com"
"6","aboutpolitics.blogspot.com"
"7","achingandspinning.blogspot.com"
"8","ackackack.com"
"9","adamtalib.blogspot.com"
"10","adviceforlefty.blogspot.com"
"11","agonist.org"
"12","aintnobaddude.com"
"13","ajbenjaminjr.blogspot.com"
"14","alicublog.blogspot.com"
"15","allanjenkins.typepad.com"
"16","allspinzone.blogspot.com"
"17","alphapredator.com/wdtgw.htm"
"18","alternateworlds.blogspot.com"
"19","althippo.blogspot.com"
"20","alvintostig.typepad.com"
"21","americablog.blogspot.com"
"22","americablog.org"
"23","americanmuslim.blogs.com"
"24","americanpolitics.com"
"25","americansforbayh.blogspot.com"
"26","amleft.blogspot.com"
"27","amliberal.com/blog"
"28","amptoons.com/blog"
"29","anarchyxero.robfindlay.org"
"30","andifeelfine.blogspot.com"
"31","andymatic.com"
"32","angrybear.blogspot.com"
"33","angrydesi.typepad.com"
"34","angryfinger.org"
"35","angryhomo.blogspot.com"
"36","annatopia.com/home.html"
"37","anoldsoul.blogspot.com"
"38","anonymoussources.blogspot.com"
"39","answerguy.blogspot.com"
"40","anybodybutbushyall.blogspot.com"
"41","anywhichway.net"
"42","arancaytar.blogspot.com"
"43","archpundit.com"
"44","arkansastonight.com"
"45","askhoudari.blogspot.com"
"46","astroturf.uni.cc"
"47","atease.blogspot.com"
"48","atrios.blogspot.com"
"49","atrios.blogspot.com/ "
"50","awards5.tripod.com/tarasblog"
"51","b-patton.blogspot.com"
"52","bakshi.us/redskunk"
"53","barkingdingo.blogspot.com"
"54","bartcop.com"
"55","battleground-wisconsin.blogspot.com"
"56","battlegroundstates.blogspot.com"
"57","beastsbelly.blogspot.com"
"58","bentcorner.blogspot.com"
"59","bettyblog.com"
"60","billmon.org"
"61","billsrants.blogspot.com"
"62","blog.dccc.org"
"63","blog.dennisfox.net"
"64","blog.glinka.com"
"65","blog.johnkerry.com"
"66","blog.kenlan.net"
"67","blog.mintruth.com"
"68","blog.veggiedude.com"
"69","blog01.kintera.com/dnccblog"
"70","blog01.kintera.com/emilysblog"
"71","bloganonymous.com"
"72","blogforamerica.com"
"73","blogforarizona.com"
"74","blogfreeordie.blogspot.com"
"75","blogitics.com"
"76","blogs.salon.com/0002874"
"77","blogs.salon.com/0003364"
"78","blogslut.com"
"79","blosteam.blogspot.com"
"80","bluegrassroots.blogspot.com"
"81","bluelemur.com"
"82","blueoregon.com"
"83","bluestateredstate.blogspot.com"
"84","bodyandsoul.typepad.com"
"85","boffo.typepad.com"
"86","boloboffin.blogspot.com"
"87","bopnews.com"
"88","boston.com/news/blogs/dnc"
"89","bowles2004.com/weblog"
"90","boycottsbg.com"
"91","bradcarson.com/blog"
"92","bradfriedman.com/bradblog"
"93","brilliantatbreakfast.blogspot.com"
"94","browncross.com/usualsuspects"
"95","btcnews.com/btcnews"
"96","bullmooseblog.com"
"97","burntorangereport.com"
"98","bushlies.net/pages/10/index.htm"
"99","bushmisunderestimated.blogspot.com"
"100","busybusybusy.com"
"101","buzzmachine.com"
"102","carpetblogger.com"
"103","cbaker.org/blog"
"104","cemonitor.blogspot.com"
"105","centerpiece.blogspot.com"
"106","changeforamerica.com/blog"
"107","charleypatton.blogspot.com"
"108","charlineandjamie.com/dotnetweb01a/blogdisplay.aspx?logname=jamie&#38;logcatid=48"
"109","chepooka.com"
"110","chiron.typepad.com"
"111","churchofcriticalthinking.com"
"112","clarified.blogspot.com"
"113","claudialong.com/blog"
"114","cleancutkid.com"
